name,url,location,telephone,website,status
AESOLAR,https://www.enfsolar.com/aesolar?directory=installer&list=Germany,,,https://ae-solar.com,DONE
Liebesonne Solar,https://www.enfsolar.com/liebesonne-solar?directory=installer&list=Germany,Spechthausen 5a - 16225 Eberswalde,+49 1512 0000 533,https://liebesonne.solar,DONE
PV Venture,https://www.enfsolar.com/pv-venture?directory=installer&list=Germany,Bossingerweg 5 - 73630 Remshalden,+49 7151 1691 048,https://www.pv-venture.de,DONE
Dirk Büllesfeld,https://www.enfsolar.com/dirk-bullesfeld?directory=installer&list=Germany,Martinstr. 1 - 53757 Sankt Augustin,+49 2241 9322 786,https://www.dirk-buellesfeld.de,DONE
Peters,https://www.enfsolar.com/peters?directory=installer&list=Germany,Am Vorderflöß 27 - 33175 Bad Lippspringe,+49 5252 4252,https://www.peters-heizung.de,DONE
Grunerstrom,https://www.enfsolar.com/grunerstrom?directory=installer&list=Germany,Gustav-Ricker-Straße 62 - Haus C1 - 39120 Magdeburg,+49 391 50549151,https://gruenerstrom.net,DONE
Energiekonzepte Gärtner,https://www.enfsolar.com/energiekonzepte-gartner?directory=installer&list=Germany,Limburger Straße 16 - 65597 Hünfelden,+49 6438 9279 200,https://energiekonzepte-gaertner.de,DONE
MayRiesen,https://www.enfsolar.com/mayriesen?directory=installer&list=Germany,Peter-May-Straße 27 - 50374 Erftstadt,+49 2235 7948 640,https://www.elektro-trier.de,DONE
Reinke,https://www.enfsolar.com/reinke?directory=installer&list=Germany,Gartenstrasse 4 - 33332 Gütersloh,+49 5241 2230 123,https://www.reinke-photovoltaik.de,DONE
Fritz Meyer,https://www.enfsolar.com/fritz-meyer?directory=installer&list=Germany,Westerstraße 17-18 - 26506 - Norden,,https://www.fritz-meyer.de,DONE
Elektrokass,https://www.enfsolar.com/elektrokass?directory=installer&list=Germany,Aechterhookstraße 32 - 46325 - Borken,,https://www.elektrokass.de,DONE
Energize,https://www.enfsolar.com/energize-3?directory=installer&list=Germany,Bundesallee 213 - 10719 - Berlin,,https://www.energize.de,DONE
Baumann Solartechnik,https://www.enfsolar.com/baumann-solartechnik?directory=installer&list=Germany,Egerländerstraße 6-8 - 91541 Rothenburg ob der Tauber,,https://www.baumann-solartechnik.de,DONE
